,COD,TIPO_CLIENTE,TIPO_EMPRESTIMO,CD_SEXO,IDADE,QTD_DIVIDAS,TEMP_RECUPERACAO,ALVO_BI,PRE_IDADE,PRE_QTDE_DIVIDAS,PRE_NOVO,PRE_TOMADOR_VAZIO,PRE_CDC,PRE_PESSOAL,PRE_SEXO_M,ADULTO,PRE_SEXO_F,RENEGOCIACAO
0,1,NOVO,CDC,M,26.0,0,227.0,0,0.13793103448275862,0.0,1,0,1,0,1,0,0,0
1,2,NOVO,RENEGOCIAÇÃO,M,39.0,0,37.0,1,0.3620689655172414,0.0,1,0,0,0,1,1,0,1
2,3,NOVO,PESSOAL,M,31.0,1,,0,0.22413793103448276,0.0625,1,0,0,1,1,1,0,0
3,4,NOVO,PESSOAL,F,45.0,11,,0,0.46551724137931033,0.6875,1,0,0,1,0,0,1,0
4,5,NOVO,CDC,F,25.0,0,8.0,1,0.1206896551724138,0.0,1,0,1,0,0,0,1,0
5,6,NOVO,PESSOAL,M,35.0,14,,0,0.29310344827586204,0.875,1,0,0,1,1,1,0,0
6,7,NOVO,CDC,M,39.0,16,,0,0.3620689655172414,1.0,1,0,1,0,1,1,0,0
7,8,NOVO,PESSOAL,F,38.0,0,22.0,1,0.3448275862068966,0.0,1,0,0,1,0,1,1,0
8,9,NOVO,CDC,M,64.0,0,14.0,1,0.7931034482758621,0.0,1,0,1,0,1,0,0,0
9,10,NOVO,CDC,M,31.0,4,,0,0.22413793103448276,0.25,1,0,1,0,1,1,0,0
10,11,NOVO,PESSOAL,M,38.0,4,,0,0.3448275862068966,0.25,1,0,0,1,1,1,0,0
11,12,INVESTIDOR,RENEGOCIAÇÃO,M,37.0,16,,0,0.3275862068965517,1.0,0,0,0,0,1,1,0,1
12,13,NOVO,PESSOAL,M,46.0,0,6.0,1,0.4827586206896552,0.0,1,0,0,1,1,0,0,0
13,14,NOVO,PESSOAL,M,,0,,0,0.0,0.0,1,0,0,1,1,0,0,0
14,15,INVESTIDOR,CDC,M,47.0,0,9.0,1,0.5,0.0,0,0,1,0,1,0,0,0
15,16,TOMADOR,RENEGOCIAÇÃO,M,36.0,12,,0,0.3103448275862069,0.75,0,1,0,0,1,1,0,1
16,17,INVESTIDOR,CDC,M,36.0,5,28.0,1,0.3103448275862069,0.3125,0,0,1,0,1,1,0,0
17,18,INVESTIDOR,RENEGOCIAÇÃO,M,38.0,0,20.0,1,0.3448275862068966,0.0,0,0,0,0,1,1,0,1
18,19,INVESTIDOR,PESSOAL,M,33.0,16,,0,0.25862068965517243,1.0,0,0,0,1,1,1,0,0
19,20,NOVO,RENEGOCIAÇÃO,F,36.0,8,,0,0.3103448275862069,0.5,1,0,0,0,0,1,1,1
20,21,INVESTIDOR,RENEGOCIAÇÃO,M,31.0,0,10.0,1,0.22413793103448276,0.0,0,0,0,0,1,1,0,1
21,22,NOVO,CDC,F,,0,,0,0.0,0.0,1,0,1,0,0,0,1,0
22,23,NOVO,PESSOAL,M,31.0,4,,0,0.22413793103448276,0.25,1,0,0,1,1,1,0,0
23,24,NOVO,PESSOAL,M,,1,,0,0.0,0.0625,1,0,0,1,1,0,0,0
24,25,INVESTIDOR,CDC,M,35.0,0,4.0,1,0.29310344827586204,0.0,0,0,1,0,1,1,0,0
25,26,INVESTIDOR,CDC,F,44.0,7,21.0,1,0.4482758620689655,0.4375,0,0,1,0,0,0,1,0
26,27,INVESTIDOR,RENEGOCIAÇÃO,F,69.0,3,,0,0.8793103448275862,0.1875,0,0,0,0,0,0,1,1
27,28,NOVO,CDC,M,76.0,4,,0,1.0,0.25,1,0,1,0,1,0,0,0
28,29,INVESTIDOR,PESSOAL,,24.0,0,5.0,1,0.10344827586206896,0.0,0,0,0,1,0,0,0,0
29,30,NOVO,CDC,F,39.0,12,,0,0.3620689655172414,0.75,1,0,1,0,0,1,1,0
30,31,NOVO,CDC,F,43.0,8,,0,0.43103448275862066,0.5,1,0,1,0,0,0,1,0
31,32,NOVO,PESSOAL,M,29.0,16,,0,0.1896551724137931,1.0,1,0,0,1,1,0,0,0
32,33,NOVO,PESSOAL,F,21.0,16,,0,0.05172413793103448,1.0,1,0,0,1,0,0,1,0
33,34,NOVO,CDC,F,44.0,0,63.0,1,0.4482758620689655,0.0,1,0,1,0,0,0,1,0
34,35,NOVO,CDC,M,41.0,0,,0,0.39655172413793105,0.0,1,0,1,0,1,0,0,0
35,36,NOVO,PESSOAL,I,51.0,0,2.0,1,0.5689655172413793,0.0,1,0,0,1,0,0,0,0
36,37,NOVO,CDC,F,41.0,0,6.0,1,0.39655172413793105,0.0,1,0,1,0,0,0,1,0
37,38,NOVO,CDC,F,50.0,16,,0,0.5517241379310345,1.0,1,0,1,0,0,0,1,0
38,39,INVESTIDOR,CDC,F,56.0,0,3.0,1,0.6551724137931034,0.0,0,0,1,0,0,0,1,0
39,40,NOVO,CDC,F,37.0,2,,0,0.3275862068965517,0.125,1,0,1,0,0,1,1,0
40,41,NOVO,CDC,F,43.0,2,12.0,1,0.43103448275862066,0.125,1,0,1,0,0,0,1,0
41,42,NOVO,PESSOAL,M,31.0,2,,0,0.22413793103448276,0.125,1,0,0,1,1,1,0,0
42,43,NOVO,RENEGOCIAÇÃO,M,55.0,4,6.0,1,0.6379310344827587,0.25,1,0,0,0,1,0,0,1
43,44,NOVO,CDC,F,40.0,16,,0,0.3793103448275862,1.0,1,0,1,0,0,1,1,0
44,45,INVESTIDOR,PESSOAL,F,56.0,0,,0,0.6551724137931034,0.0,0,0,0,1,0,0,1,0
45,46,NOVO,PESSOAL,F,22.0,0,8.0,1,0.06896551724137931,0.0,1,0,0,1,0,0,1,0
46,47,TOMADOR,RENEGOCIAÇÃO,F,42.0,7,,0,0.41379310344827586,0.4375,0,1,0,0,0,0,1,1
47,48,NOVO,RENEGOCIAÇÃO,M,30.0,0,13.0,1,0.20689655172413793,0.0,1,0,0,0,1,1,0,1
48,49,NOVO,CDC,M,34.0,10,,0,0.27586206896551724,0.625,1,0,1,0,1,1,0,0
49,50,INVESTIDOR,CDC,M,50.0,0,,0,0.5517241379310345,0.0,0,0,1,0,1,0,0,0
50,51,INVESTIDOR,RENEGOCIAÇÃO,M,44.0,0,,0,0.4482758620689655,0.0,0,0,0,0,1,0,0,1
51,52,INVESTIDOR,CDC,M,46.0,16,,0,0.4827586206896552,1.0,0,0,1,0,1,0,0,0
52,53,INVESTIDOR,CDC,M,28.0,9,,0,0.1724137931034483,0.5625,0,0,1,0,1,0,0,0
53,54,NOVO,CDC,F,34.0,14,51.0,1,0.27586206896551724,0.875,1,0,1,0,0,1,1,0
54,55,NOVO,CDC,I,44.0,1,11.0,1,0.4482758620689655,0.0625,1,0,1,0,0,0,0,0
55,56,NOVO,CDC,M,34.0,16,,0,0.27586206896551724,1.0,1,0,1,0,1,1,0,0
56,57,INVESTIDOR,CDC,M,30.0,4,5.0,1,0.20689655172413793,0.25,0,0,1,0,1,1,0,0
57,58,INVESTIDOR,CDC,M,52.0,0,3.0,1,0.5862068965517241,0.0,0,0,1,0,1,0,0,0
58,59,NOVO,CDC,M,30.0,0,15.0,1,0.20689655172413793,0.0,1,0,1,0,1,1,0,0
59,60,NOVO,CDC,M,42.0,16,,0,0.41379310344827586,1.0,1,0,1,0,1,0,0,0
60,61,NOVO,CDC,M,,0,,0,0.0,0.0,1,0,1,0,1,0,0,0
61,62,NOVO,PESSOAL,M,38.0,0,8.0,1,0.3448275862068966,0.0,1,0,0,1,1,1,0,0
62,63,NOVO,CDC,M,,10,,0,0.0,0.625,1,0,1,0,1,0,0,0
63,64,TOMADOR,CDC,F,59.0,0,14.0,1,0.7068965517241379,0.0,0,1,1,0,0,0,1,0
64,65,NOVO,CDC,I,39.0,0,61.0,1,0.3620689655172414,0.0,1,0,1,0,0,1,0,0
65,66,NOVO,RENEGOCIAÇÃO,M,30.0,0,7.0,1,0.20689655172413793,0.0,1,0,0,0,1,1,0,1
66,67,NOVO,CDC,,,0,95.0,1,0.0,0.0,1,0,1,0,0,0,0,0
67,68,NOVO,CDC,F,41.0,0,3.0,1,0.39655172413793105,0.0,1,0,1,0,0,0,1,0
68,69,NOVO,PESSOAL,F,,3,154.0,0,0.0,0.1875,1,0,0,1,0,0,1,0
69,70,NOVO,PESSOAL,M,29.0,16,,0,0.1896551724137931,1.0,1,0,0,1,1,0,0,0
70,71,NOVO,RENEGOCIAÇÃO,M,,4,34.0,1,0.0,0.25,1,0,0,0,1,0,0,1
71,72,NOVO,CDC,F,,0,28.0,1,0.0,0.0,1,0,1,0,0,0,1,0
72,73,TOMADOR,CDC,,37.0,3,,0,0.3275862068965517,0.1875,0,1,1,0,0,1,0,0
73,74,NOVO,RENEGOCIAÇÃO,F,38.0,0,5.0,1,0.3448275862068966,0.0,1,0,0,0,0,1,1,1
74,75,INVESTIDOR,RENEGOCIAÇÃO,M,54.0,7,11.0,1,0.6206896551724138,0.4375,0,0,0,0,1,0,0,1
75,76,NOVO,RENEGOCIAÇÃO,,62.0,0,8.0,1,0.7586206896551724,0.0,1,0,0,0,0,0,0,1
76,77,NOVO,CDC,F,20.0,3,36.0,1,0.034482758620689655,0.1875,1,0,1,0,0,0,1,0
77,78,NOVO,CDC,,35.0,0,,0,0.29310344827586204,0.0,1,0,1,0,0,1,0,0
78,79,INVESTIDOR,CDC,M,51.0,0,3.0,1,0.5689655172413793,0.0,0,0,1,0,1,0,0,0
79,80,NOVO,CDC,M,61.0,8,,0,0.7413793103448276,0.5,1,0,1,0,1,0,0,0
80,81,NOVO,PESSOAL,F,29.0,16,,0,0.1896551724137931,1.0,1,0,0,1,0,0,1,0
81,82,NOVO,RENEGOCIAÇÃO,M,,16,,0,0.0,1.0,1,0,0,0,1,0,0,1
82,83,NOVO,CDC,M,35.0,11,15.0,1,0.29310344827586204,0.6875,1,0,1,0,1,1,0,0
83,84,NOVO,PESSOAL,M,44.0,9,6.0,1,0.4482758620689655,0.5625,1,0,0,1,1,0,0,0
84,85,NOVO,CDC,F,37.0,0,2.0,1,0.3275862068965517,0.0,1,0,1,0,0,1,1,0
85,86,NOVO,CDC,M,47.0,16,,0,0.5,1.0,1,0,1,0,1,0,0,0
86,87,NOVO,CDC,M,25.0,16,,0,0.1206896551724138,1.0,1,0,1,0,1,0,0,0
